ProdName,SKU,Desc,LongDesc
100 Billion Probiotic 12 STRAINS,42439,Potent Probiotic for Gastrointestional Support,"Pathway 100 Billion Probiotic is an ultra high potency formula designed to provide maximum digestive and immune system support. It features a blend of 12 scientifically studied probiotic strains, each designed to survive stomach acid. This comprehensive formula also contains prebiotics to help the probiotic bacteria thrive. Best of all, Pathway 100 Billion Probiotic is shelf stable and therefore does not require refrigeration."
20 Billion Probiotic,45177,GI & Immune Health,"Pathway 20 Billion Probiotic is a high potency formula that features 9 strains of clinically researched probiotic strains. Through patented processes, these strains have been designed to survive stomach acid and are stabilized so that they do not require refrigeration. Pathway 20 Billion Probiotic also includes 2 sources of prebiotic fiber, which has been shown to increase the growth of beneficial flora while decreasing pathogenic bacteria."
35 Billion Probiotic,30708,Ultra High Potency Probiotic for Extra Intestinal Support,"Beneficial bacteria are critical to a healthy digestive and immune system. This high potency probiotic blend is recommended when advanced support is needed due to antibiotic use, travel, or digestive concerns. Pathway 35 Billion Probiotic features 8 strains of beneficial bacteria that are stabilized so that no refrigeration is necessary. In addition, the bacteria are designed to survive stomach acids so that they can work effectively in your intestine."
35 Billion Probiotic,25240,Ultra High Potency Probiotic for Extra Intestinal Support,"Beneficial bacteria are critical to a healthy digestive and immune system. This high potency probiotic blend is recommended when advanced support is needed due to antibiotic use, travel, or digestive concerns. Pathway 35 Billion Probiotic features 8 strains of beneficial bacteria that are stabilized so that no refrigeration is necessary. In addition, the bacteria are designed to survive stomach acids so that they can work effectively in your intestine."
7-Keto Fit,113,Weight Loss Support,7-Keto® is a metabolite of dehydroepiandrosterone(DHEA) that has been clinically researched in humans and shown to be three times more effective in reducing weight than diet and exercise alone. This patented ingredient is synergized with standardized green tea extract and the ChromeMate® brand of niacin-bound chromium for enhanced efficacy.
Active Men’s 50+ 85 Billion Probiotic Formula,51115,,"Designed specifically for men 50+, this high-potency probiotic formula helps to optimize digestion and absorption, colon health, and immune strength. It features whole-food sourced vitamins and minerals, a blend of organic fruits, veggies and mushrooms, a blend of high-potency probiotics from kefir, as well as digestive enzymes."
Active Womans Multi,19294,"With Soy, Lutein, Black Cohosh and Cranberry","Active Women’s Multi contains a broad range of vitamins, minerals and herbs to support the unique needs of a woman. Herbs such as dong quai, black cohosh, and chaste berry help to support hormone balance. In addition, cranberry extract and uva ursi are included to support bladder health."
Active Women’s 50+ 85 Billion Probiotic Formula,51113,,"Designed specifically for women 50+, this comprehensive formula helps to optimize digestion and absorption, and support colon health, bowel regularity, and immune strength. It features whole-food sourced vitamins and minerals, a blend of organic fruits, veggies and mushrooms, a blend of high-potency probiotics from kefir, as well as digestive enzymes."
Adrenal Support,24678,Supports Healthy Stress Levels,Supports Healthy Stress Levels
Algae Based Calcium,43182,Supports Bone Density and Strength,"Pathway Algae Based Calcium features Aquamin, a unique marine multi-mineral complex sourced from red seaweed found in the pristine waters off the coast of Iceland. This comprehensive formula contains a highly bioavailable form of calcium, magnesium, plus many other additional important trace minerals. Numerous studies have shown the benefits of these marine minerals for supporting bone health, joint health, and digestive health. In just three tablets daily, Pathway Algae Based Calcium provides 1,000 mg of calcium in addition to vitamins K2 and D3, marine minerals, as well as an organic fruit and vegetable blend, and citrus bioflavonoids."
Algae Based Calcium,43183,Supports Bone Density and Strength,"Pathway Algae Based Calcium features Aquamin, a unique marine multi-mineral complex sourced from red seaweed found in the pristine waters off the coast of Iceland. This comprehensive formula contains a highly bioavailable form of calcium, magnesium, plus many other additional important trace minerals. Numerous studies have shown the benefits of these marine minerals for supporting bone health, joint health, and digestive health. In just three tablets daily, Pathway Algae Based Calcium provides 1,000 mg of calcium in addition to vitamins K2 and D3, marine minerals, as well as an organic fruit and vegetable blend, and citrus bioflavonoids."
Aller-Calm,48283,Natural hay fever support,"Aller-Calm is a comprehensive liquid herbal formula that contains nettles, eyebright, yerba santa, turmeric, lobelia, and ambrosia. These herbs have anti-histamine and decongestant properties and provide powerful sinus and upper respiratory support. Aller-Calm can be started a couple of weeks leading up to allergy season and also be used more frequently during acute discomfort.  "
Allergy Support Plus,4049,Synergistic Respiratory Support,"Pathway Allergy Support Plus is a comprehensive formula combining Vitamin C, Quercetin, Nettle leaf extract, Bromelain, Turmeric, plus many other synergistic nutrients. This formula provides powerful upper respiratory support and is a must for anyone suffering from allergies during hay fever season."
Alpha Lipoic Acid 250 Mg,23420,Important Antioxidant,"Because it is both water and fat soluble, lipoic acid is able to operate in a broader range of body tissues than most other antioxidants. As such, it is capable of trapping many different types of free radicals in the body. Plus, it regenerates other antioxidants like C and E for longer-lasting effects. In addition to its antioxidant activity, it also plays a crucial role in the metabolism of both fats and carbohydrates into energy."
Arnica Oil,48291,Soothing muscle and joint remedy,"Arnica oil is considered a wonderful first aid remedy for pain resulting from overexertion, trauma, injuries, and accidents. It also makes a therapeutic massage oil to help stimulate circulation and disperse congested fluids from a painful area."
Ashwagandha Extract 500Mg,47583,Soothing Stress Support,"Ashwagandha is a calming adaptogen that enhances endocrine function. It is very effective for supporting adrenal and thyroid health. Considered a tonic, ashwagandha helps to improve memory and energy levels as well as ease anxiety and promote restful sleep. Pathway Ashwagandha features a standardized extract to provide you with the highest quality product."
B-Complex 50,2667,"Balanced Support, Including Coenzyme Forms","B vitamins are involved in a large and important group of metabolic functions in the human body. They must be replaced on a daily basis because they are water soluble, and therefore do not build up a reserve in the body. The easiest and best way to get what your body needs is to take a B-Complex supplement like Pathway B-Complex 50. Pathway’s formula contains the full complement of B-complex vitamins as well as coenzyme forms. B vitamins work as a team and should always be taken together in specific ratios like those found in this formula."
Bcaa Watermelon Flavor,116,Supports Lean Muscle Mass and Post Work-Out Recovery,"Branched chain amino acids (BCAAs) L-Leucine, L-Isoleucine, and L-Valine, cannot be produced by the body and must be consumed through the diet or supplements. They are essential to building and maintaining muscle tissue and have long been used by athletes and other active individuals to activate protein synthesis and reduce muscle breakdown caused by intense training or physical activity. This water soluble formula of BCAAs, Glutamine and B Vitamins mixes readily into water for maximum absorption and has a pleasant watermelon flavor."
Berberine,48237,Berberine – Supports Blood Sugar & Cardiometabolic Health,"Berberine is a natural compound that is found in a variety of plants, such as goldenseal and barberry. It has a long history of use in both Chinese and Ayurvedic medicine. Studies show that berberine has many health benefits, including supporting cholesterol levels, blood sugar balance, GI microbial health, weight management, respiratory mucus membrane health, as well as providing support for immune system function. Pathway Berberine features 500 mg per capsule."
Berry Fusion,26602,Whole Food Antioxidant with Organic Fruits,"Pathway Berry Fusion is an antioxidant-rich blend of 20 berries and fruits, including pomegranate, blueberry, noni, and elderberry. Each serving provides 6,000 ORAC units-equivalent to about 5 servings of fruits and vegetables. Pathway Berry Fusion is delicious tasting and mixes easily with water or can be added to yogurt, smoothies, or other fruit juices. It is full of fresh fruit flavor and has no sugar added!"
Beta Carotene,19300,100% Natural Mixed Carotenoids,"Each softgel capsule provides 100% natural mixed carotenoids from the marine algae, Dunaliella salina. D. salina offers a rich mixture of carotenes, including the cis and trans forms of beta carotene as found in nature. One capsule is equal to 25,000 IU of Vitamin A activity."
Bilberry Extract Plus,22442,Powerful Antioxidant for the Eyes,"Bilberry plays an important role as an antioxidant that supports eye health as well as vascular health. Pathway Bilberry Extract Plus is meticulously manufactured under strict European quality control standards without the use of harsh solvents. It is extracted to provide an optimal level of 25% naturally occurring anthocyanidins. Additionally, it contains a full spectrum of components as they occur naturally in fresh whole bilberries. Red grape skin extract and citrus bioflavonoids work synergistically to enhance the proven benefits of Bilberry Extract Plus."
Biotin 5000 MCG,19303,Strengthens Brittle Nails,"Biotin is an important coenzyme that is involved in a number of processes in the body. It is a member of the B-vitamin family and is an essential nutrient in human nutrition. Biotin is involved in the biosynthesis of fatty acids, energy production and metabolism. Biotin has been widely used for nutritional support of healthy skin, hair and nails."
Biotin 5000 MCG,19302,Strengthens Brittle Nails,"Biotin is an important coenzyme that is involved in a number of processes in the body. It is a member of the B-vitamin family and is an essential nutrient in human nutrition. Biotin is involved in the biosynthesis of fatty acids, energy production and metabolism. Biotin has been widely used for nutritional support of healthy skin, hair and nails."
